"","Sample","GENE","%COVERAGE","%IDENTITY","ACCESSION","PRODUCT"
"1","SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lap","100","97.08","NP_465159","(lap) Listeria adhesion protein Lap [Lap (VF0444)] [Listeria monocytogenes EGD-e]"
"2","SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","clpE","99.72","93.56","NP_464522","(clpE) ATP-dependent protease [ClpE (VF0073)] [Listeria monocytogenes EGD-e]"
"3","SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","gtcA","99.32","80.95","NP_466072","(gtcA) wall teichoic acid glycosylation protein GtcA [GtcA (VF0448)] [Listeria monocytogenes EGD-e]"
"4","SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","pdgA","100","97","NP_463944","(pdgA) Peptidoglycan N-deacetylase [PgdA (VF0442)] [Listeria monocytogenes EGD-e]"
"5","SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","inlF","99.96","80.91","NP_463939","(inlF) internalin F [InlF (VF0447)] [Listeria monocytogenes EGD-e]"
"6","SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","clpC","100","94.28","NP_463763","(clpC) endopeptidase Clp ATP-binding chain C [ClpC (VF0072)] [Listeria monocytogenes EGD-e]"
"7","SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lapB","100","93.34","NP_465191","(lapB) Listeria adhesion protein LapB [LapB (VF0446)] [Listeria monocytogenes EGD-e]"
"8","SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","bsh","100","97.55","NP_465591","(bsh) bile salt hydrolase [BSH (VF0350)] [Listeria monocytogenes EGD-e]"
"9","SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","prfA","100","97.48","NP_463731","(prfA) listeriolysin positive regulatory protein [PrfA (VF0062)] [Listeria monocytogenes EGD-e]"
"10","SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","plcA","100","97.48","NP_463732","(plcA) phosphatidylinositol-specific phospholipase c [PlcA (VF0063)] [Listeria monocytogenes EGD-e]"
"11","SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","hly","100","97.23","NP_463733","(hly) listeriolysin O precursor [LLO (VF0064)] [Listeria monocytogenes EGD-e]"
"12","SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","mpl","100","94.85","NP_463734","(mpl) Zinc metalloproteinase precursor [Mpl (VF0065)] [Listeria monocytogenes EGD-e]"
"13","SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","actA","99.9","94.16","NP_463735","(actA) actin-assembly inducing protein precursor [ActA (VF0066)] [Listeria monocytogenes EGD-e]"
