"","Sample","GENE","%COVERAGE","%IDENTITY","PRODUCT","RESISTANCE"
"1","SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"2","SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"3","SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"4","SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"5","SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"6","SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"7","SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"8","SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"9","SRR27013313_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"10","SRR27013313_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"11","SRR27013313_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"12","SRR27013313_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"13","SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"14","SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"15","SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"16","SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"17","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"18","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"19","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"20","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"21","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"22","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"23","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"24","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"25","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
