qseqid,sseqid,pident,length,evalue,bitscore,stitle,Sample
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_2_length_174011_cov_19.846156,NC_003210.1,94.737,82407,0,128100,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013311
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_3_length_173457_cov_24.940847,NC_003210.1,94.764,74522,0,116000,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013311
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_3_length_173457_cov_24.940847,NC_003210.1,94.527,74767,0,115400,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013311
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_4_length_181821_cov_29.588754,NC_003210.1,95.778,115016,0,185400,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013312
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_5_length_168140_cov_25.918482,NC_003210.1,94.039,108265,0,164000,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013312
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_3_length_184398_cov_24.591775,NC_003210.1,93.905,100207,0,151100,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013312
SRR27013313_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_1_length_303319_cov_31.067469,NC_003210.1,94.866,198977,0,310700,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013313
SRR27013313_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_4_length_223431_cov_35.892550,NC_003210.1,95.764,115115,0,185500,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013313
SRR27013313_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_2_length_294549_cov_30.034780,NC_003210.1,93.903,100202,0,151100,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013313
SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_contigs_NODE_5_length_232458_cov_27.027448,NC_003210.1,94.899,128069,0,200200,"NC_003210.1 Listeria monocytogenes EGD-e chromosome, complete genome",SRR27013314
